Covered_Recipient_Type,Noncovered_Recipient_Entity_Name,Teaching_Hospital_CCN,Teaching_Hospital_ID,Teaching_Hospital_Name,Covered_Recipient_Profile_ID,Covered_Recipient_NPI,Covered_Recipient_First_Name,Covered_Recipient_Last_Name,Recipient_City,Recipient_State,Recipient_Zip_Code,Covered_Recipient_Primary_Type_1,Covered_Recipient_Specialty_1,Total_Amount_of_Payment_USDollars,Date_of_Payment,Record_ID,Program_Year,Payment_Publication_Date
Covered Recipient Teaching Hospital,Not available,230297.0,10146.0,KARMANOS CANCER HOSPITAL,Not available,Not available,Not available,Not available,Detroit,MI,48201,Not available,Not available,31951.26,09/29/2021,816658237,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,363300.0,10334.0,Childrens Hospital Medical Center,Not available,Not available,Not available,Not available,Cincinnati,OH,45229,Not available,Not available,259.06,06/17/2021,850479447,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140127.0,10435.0,Advocate Bromenn Medical Center,Not available,Not available,Not available,Not available,NORMAL,IL,61761,Not available,Not available,1062.5,04/06/2021,807118463,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50696.0,11289.0,KECK HOSPITAL OF USC,Not available,Not available,Not available,Not available,Los Angeles,CA,90033,Not available,Not available,1250.0,09/08/2021,816658707,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230053.0,10500.0,Henry Ford Hospital,Not available,Not available,Not available,Not available,Detroit,MI,48202,Not available,Not available,2821.05,06/28/2021,811781525,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,54144.0,11286.0,LANGLEY PORTER PSYCHIATRIC HOSPITAL,Not available,Not available,Not available,Not available,San Francisco,CA,94143,Not available,Not available,11.96,05/25/2021,816659181,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100039.0,10842.0,Broward Health Medical Center,Not available,Not available,Not available,Not available,FORT LAUDERDALE,FL,33316,Not available,Not available,39.03,10/05/2021,831147901,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,500008.0,11198.0,University Of Washington Med Ctr,Not available,Not available,Not available,Not available,Seattle,WA,98195,Not available,Not available,21395.0,10/28/2021,787601257,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,310015.0,10713.0,Morristown Medical Center,Not available,Not available,Not available,Not available,MORRISTOWN,NJ,07960,Not available,Not available,1323.0,07/22/2021,809688609,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,110083.0,10783.0,PIEDMONT HOSPITAL INC.,Not available,Not available,Not available,Not available,Atlanta,GA,30309,Not available,Not available,2415.39,08/04/2021,836192941,2021,01/20/2023
